Group,Band,Condition,Power_Mean_dB,Power_SEM_dB
novice,delta,Concentration,9.036959119709788,0.9853339766711754
novice,delta,Mind Wandering,9.588286622436433,1.1031561314135336
novice,delta,Difference,-0.5513275027266462,1.4795761696073513
novice,theta,Concentration,4.898679050622285,1.0610369093647278
novice,theta,Mind Wandering,5.0479894847119215,1.090215703575268
novice,theta,Difference,-0.14931043408963718,1.5214433659283824
novice,alpha,Concentration,6.858049670233629,1.2821592121375098
novice,alpha,Mind Wandering,6.8722632344497505,1.2696180416810403
novice,alpha,Difference,-0.014213564216121589,1.804443378146595
novice,beta,Concentration,-1.6599689883381639,0.8529458859672484
novice,beta,Mind Wandering,-1.4964919374904677,0.8457892582586077
novice,beta,Difference,-0.16347705084769634,1.2013301807632872
novice,gamma,Concentration,-8.23561828965126,0.8228602951811894
novice,gamma,Mind Wandering,-7.800968586295482,0.8186105405664172
novice,gamma,Difference,-0.4346497033557784,1.1609120333224259
